Land use,Scenario,Direction,Gen,Rep,X,Y,Proportion,Male
LU,Hist,EW,2,1,263655,5131881,0.1925,0
LU,Hist,EW,2,1,269039,5133152,0.07252,0
LU,Hist,EW,2,1,282779,5123814,0,0
LU,Hist,EW,2,1,273255,5131586,0,1
LU,Hist,EW,2,1,249403,5138632,0.5103,1
LU,Hist,EW,2,1,270123,5121476,0.04835,1
LU,Hist,EW,2,2,251884,5138066,0.455,0
LU,Hist,EW,2,2,270383,5145808,0.04256,0
LU,Hist,EW,2,2,276067,5135594,0,0
LU,Hist,EW,2,2,274448,5136419,0,1
LU,Hist,EW,2,2,256039,5116606,0.3623,1
LU,Hist,EW,2,3,271572,5137988,0.01605,0
LU,Hist,EW,2,3,274475,5127244,0,1
LU,Hist,EW,2,3,272455,5139524,0,1
LU,Hist,EW,2,3,270321,5120449,0.04394,1
NLU,C45,EW,2,1,269709,5145443,0.05758,1
NLU,C45,EW,2,1,273134,5131088,0,1
NLU,C45,EW,2,1,263474,5130248,0.1966,1
NLU,C45,EW,2,1,265918,5127055,0.1421,1
NLU,C45,EW,2,1,271054,5127820,0.0276,1
NLU,C45,EW,2,1,279267,5117444,0,1
NLU,C45,EW,2,1,283107,5129088,0,1
NLU,C45,EW,2,1,283071,5122914,0,1
NLU,C45,EW,2,2,249192,5123794,0.515,0
NLU,C45,EW,2,2,273129,5125194,0,0
NLU,C45,EW,2,2,254215,5117471,0.403,1
NLU,C45,EW,2,2,272603,5138591,0,1
NLU,C45,EW,2,3,269925,5120494,0.05277,0
NLU,C45,EW,2,3,273822,5127452,0,0
NLU,C45,EW,2,3,284508,5127414,0,0
NLU,C45,EW,2,3,278558,5141017,0,0
NLU,C45,EW,2,3,271283,5138045,0.02249,0
NLU,C45,EW,2,3,274249,5119857,0,1
NLU,C45,EW,2,3,258017,5117506,0.3182,1
NLU,C85,EW,2,1,269642,5127391,0.05908,0
NLU,C85,EW,2,1,265620,5139483,0.1487,0
NLU,C85,EW,2,1,261720,5134905,0.2357,0
NLU,C85,EW,2,1,272703,5130869,0,0
NLU,C85,EW,2,1,261968,5131841,0.2302,1
NLU,C85,EW,2,1,268796,5131380,0.07794,1
NLU,C85,EW,2,1,269264,5126197,0.0675,1
NLU,C85,EW,2,2,274744,5139345,0,0
NLU,C85,EW,2,2,275352,5125711,0,0
NLU,C85,EW,2,2,272289,5137901,0.00006688,0
NLU,C85,EW,2,2,279401,5141797,0,0
NLU,C85,EW,2,2,257477,5116182,0.3303,0
NLU,C85,EW,2,2,273860,5120802,0,1
NLU,C85,EW,2,2,272742,5138558,0,1
NLU,C85,EW,2,3,284195,5126241,0,0
NLU,C85,EW,2,3,258347,5118970,0.3109,1
NLU,C85,EW,2,3,245836,5122368,0.5898,1
NLU,Hist,EW,2,1,261844,5133838,0.2329,0
NLU,Hist,EW,2,1,270547,5128707,0.0389,0
NLU,Hist,EW,2,1,268427,5130393,0.08616,0
NLU,Hist,EW,2,1,268088,5138508,0.09372,0
NLU,Hist,EW,2,1,264764,5131339,0.1678,0
NLU,Hist,EW,2,1,252026,5129167,0.4518,0
NLU,Hist,EW,2,1,271887,5124793,0.009029,1
NLU,Hist,EW,2,1,269924,5145603,0.05279,1
NLU,Hist,EW,2,2,274730,5127045,0,0
NLU,Hist,EW,2,2,275910,5137590,0,1
NLU,Hist,EW,2,3,274018,5126906,0,0
NLU,Hist,EW,2,3,273396,5125336,0,0
NLU,Hist,EW,2,3,273213,5139882,0,0
NLU,Hist,EW,2,3,272137,5138007,0.003455,1
NLU,Hist,EW,2,3,273778,5120138,0,1
LU,C45,WE,2,1,250467,5125342,0.5135,0
LU,C45,WE,2,1,214835,5131987,0,0
LU,C45,WE,2,1,249647,5138309,0.4952,0
LU,C45,WE,2,1,229759,5126244,0.05181,0
LU,C45,WE,2,1,233067,5144699,0.1256,1
LU,C45,WE,2,1,240210,5119399,0.2848,1
LU,C45,WE,2,1,225289,5135829,0,1
LU,C45,WE,2,1,227165,5134628,0,1
LU,C45,WE,2,2,214043,5133095,0,0
LU,C45,WE,2,2,231289,5137377,0.08592,0
LU,C45,WE,2,2,213618,5132758,0,0
LU,C45,WE,2,2,225220,5138714,0,1
LU,C45,WE,2,2,220463,5140010,0,1
LU,C45,WE,2,2,236400,5117424,0.1999,1
LU,C45,WE,2,3,237448,5147888,0.2232,0
LU,C45,WE,2,3,234611,5111460,0.16,0
