Direction,Scenario,Landuse,Gen,Rep,Year,Alive,Starved,Winter_Kill,Predation,Stochastic_Death,Left_Map,Failed_to_Establish,Total_Dispersers,EnergyLevel_Mean,Stdev,Sterr,Variance,PercepDist_Mean,Stdev,Sterr,Variance,StepDist_Mean,Stdev,Sterr,Variance,     TotalDist_Mean,Stdev,Sterr,Variance,Tortuosity_Mean,Stdev,Sterr,Variance,SLDist_Mean,Stdev,Sterr,Variance,TimeSteps_Mean,TimeSteps_SD,Males,Females,ResCount,MaxDispersal
EW,Hist,LU,0,7,2010,5,3,0,0,0,0,2,10,5519.68,118.46,52.98,14032.94,100.00,0.00,0.00,0.00,257.06,12.67,5.67,160.55,280252.84,115709.60,51746.91,13388711899.33,28.63,13.34,5.97,177.92,12486.87,10382.97,4643.41,107806115.03,2833.40,1131.19,5,5,11,30626.3479282
EW,Hist,LU,0,8,2010,3,5,0,1,0,0,1,10,5523.10,135.12,78.01,18258.10,100.00,0.00,0.00,0.00,259.59,17.43,10.06,303.68,397725.08,70764.53,40855.92,5007618814.57,44.99,42.25,24.40,1785.43,16736.67,14426.56,8329.18,208125661.67,4012.67,556.57,5,5,30,32847.6489698
EW,Hist,LU,0,9,2010,5,4,0,1,0,0,0,10,5275.95,206.29,92.26,42555.20,100.00,0.00,0.00,0.00,268.37,12.32,5.51,151.82,408704.76,119598.27,53485.97,14303746270.49,42.49,16.39,7.33,268.59,10115.59,2724.04,1218.23,7420367.78,3967.40,1104.96,5,5,7,14309.3212585
EW,C45,NLU,0,1,2010,9,0,0,1,0,0,0,10,5303.09,335.56,111.85,112597.24,100.00,0.00,0.00,0.00,267.65,11.03,3.68,121.63,256547.97,163370.55,54456.85,26689936078.07,37.60,26.82,8.94,719.28,7691.31,2911.02,970.34,8474051.72,2485.00,1546.06,5,5,33,11492.8696322
EW,C45,NLU,0,10,2010,7,2,0,1,0,0,0,10,5274.04,453.90,171.56,206024.28,100.00,0.00,0.00,0.00,270.83,17.80,6.73,316.80,279966.11,119453.72,45149.26,14269190388.16,33.68,14.40,5.44,207.39,9949.86,6342.60,2397.28,40228621.96,2670.14,1037.27,5,5,33,20179.1284158
EW,C45,NLU,0,2,2010,6,2,0,2,0,0,0,10,5520.77,115.87,47.30,13424.76,100.00,0.00,0.00,0.00,263.44,15.77,6.44,248.65,382339.72,113584.77,46370.79,12901499514.36,35.56,19.17,7.83,367.55,13665.31,7236.63,2954.34,52368802.57,3778.67,974.05,5,5,41,24482.2628952
EW,C45,NLU,0,3,2010,5,4,0,1,0,0,0,10,5183.29,341.81,152.86,116836.57,100.00,0.00,0.00,0.00,277.90,10.57,4.73,111.66,287775.01,66855.48,29898.68,4469654784.61,40.63,22.73,10.16,516.56,9639.40,7205.31,3222.31,51916439.02,2717.80,658.38,5,5,33,21465.9062135
EW,C45,NLU,0,4,2010,6,4,0,0,0,0,0,10,5478.80,157.76,64.41,24888.14,100.00,0.00,0.00,0.00,266.41,12.54,5.12,157.33,352128.13,136221.94,55612.37,18556415646.90,43.80,26.28,10.73,690.55,12231.70,10684.11,4361.77,114150239.55,3428.67,1266.75,5,5,32,33263.0680432
EW,C45,NLU,0,5,2010,8,2,0,0,0,0,0,10,5448.40,212.58,75.16,45190.31,100.00,0.00,0.00,0.00,263.34,15.29,5.41,233.77,385364.35,96280.66,34040.35,9269965341.70,52.95,57.36,20.28,3289.60,11803.84,6942.16,2454.42,48193590.49,3832.88,865.43,5,5,41,24707.0861407
EW,C45,NLU,0,6,2010,5,4,0,0,0,0,1,10,5351.94,193.17,86.39,37316.56,100.00,0.00,0.00,0.00,275.49,14.21,6.36,201.95,376693.76,93348.78,41746.84,8713994270.04,26.54,11.73,5.25,137.58,16092.23,6550.08,2929.28,42903518.21,3554.80,765.70,5,5,43,24204.7816615
EW,C45,NLU,0,7,2010,6,4,0,0,0,0,0,10,5222.54,493.66,201.54,243699.73,100.00,0.00,0.00,0.00,271.62,23.20,9.47,538.32,244616.55,138291.69,56457.35,19124591523.12,40.72,24.78,10.12,613.91,6906.44,2900.09,1183.96,8410523.57,2293.17,1179.43,5,5,18,10028.6010027
EW,C45,NLU,0,8,2010,7,1,0,2,0,0,0,10,5249.50,277.75,104.98,77145.51,100.00,0.00,0.00,0.00,269.46,18.25,6.90,332.89,327772.15,170955.81,64615.22,29225890049.60,36.60,20.82,7.87,433.31,10994.08,6810.58,2574.16,46383972.80,3222.29,1818.40,5,5,45,21471.940638
EW,C45,NLU,0,9,2010,5,4,0,1,0,0,0,10,5514.15,148.40,66.37,22022.32,100.00,0.00,0.00,0.00,257.25,15.29,6.84,233.91,352537.48,121945.76,54535.80,14870767581.00,37.91,25.97,11.61,674.39,11053.60,3209.18,1435.19,10298829.25,3555.40,1177.24,5,5,17,14471.416855
EW,C85,NLU,0,1,2010,9,1,0,0,0,0,0,10,5330.02,278.14,92.71,77360.31,100.00,0.00,0.00,0.00,270.16,10.51,3.50,110.36,342214.65,162880.78,54293.59,26530147911.53,75.81,43.35,14.45,1879.13,5645.99,3140.13,1046.71,9860409.33,3312.56,1611.63,5,5,36,11146.0129156
EW,C85,NLU,0,10,2010,4,5,0,0,0,0,1,10,5346.11,267.61,133.81,71616.19,100.00,0.00,0.00,0.00,267.58,21.30,10.65,453.68,246266.20,151244.95,75622.47,22875033523.61,26.71,8.33,4.17,69.47,9008.19,3784.05,1892.02,14319030.11,2384.00,1367.23,5,5,36,14156.5683023
EW,C85,NLU,0,2,2010,6,4,0,0,0,0,0,10,5323.34,145.20,59.28,21082.07,100.00,0.00,0.00,0.00,267.88,15.89,6.49,252.46,295991.35,169506.78,69200.85,28732546983.21,28.84,19.94,8.14,397.56,14341.73,11895.57,4856.35,141504579.73,2860.50,1608.10,5,5,43,34960.2834399
EW,C85,NLU,0,3,2010,8,2,0,0,0,0,0,10,5143.75,437.71,154.75,191590.49,100.00,0.00,0.00,0.00,270.76,16.84,5.95,283.55,310519.55,123863.37,43792.32,15342135206.93,80.26,71.33,25.22,5087.88,6320.10,4621.03,1633.78,21353946.89,3000.25,1195.32,5,5,34,15905.2508126
EW,C85,NLU,0,4,2010,6,4,0,0,0,0,0,10,5298.30,476.06,194.35,226634.78,100.00,0.00,0.00,0.00,270.40,17.86,7.29,318.96,388389.99,122259.47,49912.22,14947377212.37,33.98,15.35,6.26,235.49,12810.14,5866.57,2395.02,34416667.74,3753.50,1153.90,5,5,34,22564.1481845
EW,C85,NLU,0,5,2010,6,4,0,0,0,0,0,10,5455.28,203.08,82.91,41243.51,100.00,0.00,0.00,0.00,263.28,14.04,5.73,197.21,359872.63,105492.77,43067.24,11128724605.76,66.69,34.42,14.05,1184.74,6225.92,2780.75,1135.24,7732573.28,3546.00,915.69,5,5,45,11038.5070686
